,Date,Confession_of_Sins_Prelude
70,2023-05-21,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
71,2023-05-28,"Saints of God, we are in need of cleansing and renewal. So I invite all who are able to kneel together with us as we begin our service with a time of silent prayer and confession of our sins.  After that moment of silence, we'll join together for our corporate prayer of confession printed there in your bulletins."
72,2023-06-04,"Saints of God, we are in need of cleansing and renewal. So I invite all who are able to kneel together with us as we begin our service with a time of silent prayer and confession of our sins.  After that moment of silence, we'll join together for our corporate prayer of confession printed there in your bulletins."
73,2023-06-11,
74,2023-06-18,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
75,2023-06-25,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
76,2023-07-02,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
77,2023-07-09,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently for a moment, and then aloud together with our corporate prayer of confession printed in your bulletin "
78,2023-07-16,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
79,2023-07-23,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
80,2023-07-30,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
81,2023-08-06,"People of God, we are in need of His cleansing and renewal.  Therefore, tet us kneel and confess our sins together, in humble reliance upon the grace of God, first silently then in unison."
82,2023-08-13,"People of God, we are in need of His cleansing and renewal.  Therefore, tet us kneel and confess our sins together, in humble reliance upon the grace of God, first silently then in unison."
83,2023-08-20,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
84,2023-08-27,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
85,2023-09-03,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
86,2023-09-10,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father. Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
87,2023-09-17,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
88,2023-09-24,"People of God, we are in need of His cleansing and renewal.  Therefore, let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently then in unison."
89,2023-10-01,"People of God, we are in need of His cleansing and renewal.  Therefore, let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently then in unison."
90,2023-10-08,"Saints of God, once more, we stand in need of our Father's cleansing and renewal.  So, as Scripture calls us in many places to bow before our God in our worship, I invite all who are able to kneel together with me (giving thanks that we now have kneelers) and confess your sins.  We'll pray first silently, and then join together for our corporate prayer of confession, printed in your bulletins."
91,2023-10-15,"Let us humbly kneel, and make confession to God, imploring his forgiveness, through Jesus Christ our Lord.  First silently, and then together"
92,2023-10-22,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
93,2023-10-29,"Saints of God, today we remember the work of God to reform His Church a work of reforming that God works always first and foremost in and from our own hearts   we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
94,2023-11-05,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
95,2023-11-12,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently for a moment, and then aloud together with our corporate prayer of confession printed in your bulletin "
96,2023-11-19,"Saints of God, we are in need of cleansing and renewal. Let us call upon the mercy of our heavenly Father.  Let us kneel and confess our sins together, in humble reliance upon the grace of God, first silently, then together."
