,Date,Church_and_World_Culture_and_Nation,Church_and_World_Epilogue
10,2022-03-27,,
11,2022-04-03,,
12,2022-04-10,"You have told us in Your Word of the special place children and youths have in Your Kingdom.  We lift up to You each of our own to You: For Ruthie, Uriah, Simeon & Zeke; for Caleb, Reagan, Luke, Lily, Benjamin & Eli; Caleb, Abigail, Rachel, Josiah, Eliana, & Selah, for Tillie, Isaac, & Allie, Spencer & Joseph, & Matthew, Henry, Evangeleen, for Ben, Zach, Abie, & Anna, & Evelina, Titus, Silas, Willow, & Shiloh, Ridge, Owen, Valor; for Calvin, Virginia, & Charlotte; for Jackson, Leighton, Nolan, and Fletcher; for Gabriel, Gideon, Justus, Karissa, & Evangeline; for Abigail, Selah, Elise, Noel, Micah, Levi, Elijah, and Isaiah; for Aubrey Kate & Adley, Drew, Sarah, Calleigh, & Ella for Noah, Levi & Carter, and Ryan Jenni & Edward, Calliope, and all those children yet unnamed and unborn. Cause them to truly know their Father in Heaven, to be among those that are His, faithful to be in His house; about His business and to receive Your Word, So that they may resist and overcome sin with the blessing of their advocate, Jesus Christ the righteous, for Whose name sake their sins are forgiven. Because they are of You, their God, make them overcome false, lying, antichristian spirits.  For You are in them and You are greater than the world. Grant them the grace of Your Spirit that they would keep themselves from idols. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Table, help us by Your Spirit, as we magnify Your glorious Name, and bless Him Who came to us in Your glorious name, Jesus our King, through Whom we pray.  Amen. Nicene Creed"
13,2022-04-17,"O Father, bless also those in our congregation and community applying for exemptions to the vaccine mandate.  Provide for them in all their needs and grant them favor in the eyes of their supervisors and commanding officers. Good Shepherd, heal Your sheep and tend Your Lambs. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Gracious Father, we lift up to You President Biden, his advisors, as well as our law makers and judges.  Give them Your wisdom, a clear sense of good and righteous judgment, and the conviction to govern rightly so that Your People here may lead quiet, peaceable lives in all godliness and reverence.  Help us to learn to honor them as the authority You have placed over us, while also fearing and obeying You as our ultimate Authority. Oh Lord, Hear our Prayers [for You are gracious]. Prayer for the Church and the World Epilogue","All these things and whatever else You know we need, grant us, in Your mercy, Gracious Father, for we ask by Your Holy Spirit and in the strong and holy name of Jesus our Victor. Amen. Nicene Creed"
14,2022-04-24,"O Father, bless also those in our congregation and community applying for exemptions to the vaccine mandate.  Provide for them in all their needs and grant them favor in the eyes of their supervisors and commanding officers. Good Shepherd, heal Your sheep and tend Your Lambs. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Athanasius Presbytery churches they represent throughout the SouthEast especially those folks who will be travelling down from the Carolinas or Louisiana.  Grant us all travelling mercies and bless us with wisdom and grace as we convene to accomplish Your business this week.  Bless also our Presiding Ministers, Brito and Thacker and our Secretary, Pastor Jimmy Gill bless their families and congregations as they serve us and split their time attending to the broader needs of Your Church in this region.  Be kind to Your children, through us, our Father. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Table, Breathe Your Spirit upon us and give us His light and grace. For we pray in Jesus strong and holy name. Amen. Nicene Creed"
15,2022-05-01,"Father, we lift up to You our own nation in this generation.  Look upon us in mercy and deliver us from our own sin and rebellion.  Turn us to the fear of God and the love of His righteous law.   According to Your word, we thank You for the blessings and protections of government authority we pray for our national judges, law makers, and the executors of the laws for President Biden, his cabinet and advisors, and for the heads of our military and other institutions -   Mercifully grant them Your wisdom and counsel that as they discharge their duties to lead us as Your appointed minsters over us. In particular, bless and help our state authorities, Gov DeSantis, Surgeon General Smith, our County Cmmrs Mixon, Ketchel, Goodwin, Ponder, and Boyles and DOH Dr Chapman together w/ our City Cmmrs, Administrators, Sheriff Aden and his deputies, and our local law enforcement officers, and emergency responders. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","All these things and whatever else You see that we need, grant us in Your lovingkindness. For we pray in Your strong and holy name of Jesus our Lord.   Amen. Nicene Creed"
16,2022-05-08,"Gracious Lord, We thank You, that in Your mercy, You did not cast us forth into the world alone and uncared for, but that by Your goodness, we were brought into Your world through the love and nurture of Your maidservants, our mothers  Who through the work of their office and calling have rendered heavenly service to You, by the earthly care they've rendered to each one of us in our lowliest, neediest years. Honor them, Father, for their service to You lift the burden of their toil; give them to know the joy of Your Spirit; Comfort those who grieve at this time and kindly grant fruit to the barren. Strengthen and inspire us to zealously return care to our mothers in the years of their need that we may all radiate the beauty of Your faithful and tender love toward us. We give You thanks and ask Your protection for of our expectant Erika Dahl, Sarah Ann Haney, Brittany Shaffer, Rachel Astudillo, Andrea Mosley, and Nora Wyant Hear also the prayers of those who desire children for the blessing of their homes and Your greater glory. Oh LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","All these things and whatever else You see that we need, grant us in Your lovingkindness. For we pray in Your strong and holy name of Jesus our Lord.   Amen. Nicene Creed"
17,2022-05-15,"O GRACIOUS Father, We thank You for blessing us to live in a time and place of so much peace, prosperity, liberty, and opportunity.  We thank You for these blessings so common in this nation.  Continue to be kind to us here, and to the world through us.  Bless, guide, and intend over our authorities, especially those of our national defense and military. We thank You for their might and as that it would only ever be used in ways that conform to Your holy will. We entrust to Your care and protection our servicemen and women: Josh Stevenson; Trent Hamilton; Corban Pierce; Bobby Dixon; Jacoby Baker; Austin & Bekah Denigan; Kent Winn, Pablo DeJesus, Shawn Lowe, Noah Mosley, Murray Hemstreet, Matt Adelstein, Chris Stanton, Lexi Turner, Braden Fitzsimmons, and Paul Blair. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","All these things and whatever else You see that we need, grant us by Your mercy, Gracious Father, for we pray in Jesus' name. Amen. Nicene Creed"
18,2022-05-22,,
19,2022-05-29,,
20,2022-06-05,"Gracious Father, as we give thanks for and celebrate the Pentecostal Advent of Your Holy Spirit, we are mindful of the prayer of Christ.  Sanctify Your people, Your Church by Your Truth.  Your Word is Truth.  Make us one, as You, Father, Son, and Holy Spirit, are One.  Heal the divisions that threaten the unity of Your people.  Grant us a testimony of unity across the ancient lines of strife and division between races, classes, castes, and all other allegiances that cause us to separate the body of Christ.  Make us faithful, both to Your Word of Truth, and to one another.  Continue to cleanse, nourish, and cherish Christ's Bride, that She may be presented to Him perfect and spotless. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now as we approach Your Table, Be abundantly gracious once more, and hear us in all these our petitions, and answer according to Your perfect will for the sake of the Christ our Savior. Nicene Creed"
21,2022-06-12,,
22,2022-06-19,,
23,2022-06-26,,
24,2022-07-03,"God our Father, we thank You for United States of America and entrust her to Your mercy and loving care.  You are the Creator and Endower of all life and liberty wherever it is known. So send Your Spirit to grant wisdom to the hearts of our nation´s leaders. Gracious Father, we lift up to You President Biden, his advisors, as well as our law makers and judges. Grant them moral courage especially when deciding grave and weighty matters and the responsibilities that accompany human freedom. We thank You for their might and as that it would only ever be used in ways that conform to Your holy will. We entrust to Your care and protection our servicemen and women: Josh Stevenson; Caleb Akin; Trent Hamilton; Corban Pierce; Bobby Dixon; Jacoby Baker; Austin & Bekah Denigan; Kent Winn, Pablo DeJesus, Shawn Lowe, Noah Mosley, Murray Hemstreet, Matt Adelstein, Chris Stanton, Lexi Turner, Braden Fitzsimmons, and Paul Blair. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Table, And hear the voice of Your beloved Son beckoning us to come to Him, Help us by Your Spirit to do so to cling to our Savior and in these by faith receive Him and never relent all our days, for we pray in His strong and holy name. Amen. Nicene Creed"
25,2022-07-10,"We thank You for Your blessing upon our nation.  We ask that in Your mercy, You continue to bless and uphold us, for Your own glory.  We also pray Your blessing for our cultural leaders, heads of institutions and societal authorities.  Grant them a vision of righteousness and the glory of Christ and His love externalized and applied to our lives in the world He has made.  Bless us in our culture making and our young people who prepare for their cultural tasks after us. Uphold and strengthen Your Church in this land guard us from heresy and from temptations Grant us the courage to reject the ""culture of death."" And the unhindered pursuit of pleasure.  Restore to Your people here the testimony that all true human happiness and freedom flows from one seeking and doing Your will. Lead us and grant that the culture we make and spread would be one that honors You on the earth. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Table, The voice of our beloved Lord, Who was meek and lowly and now is highly exalted calls us to Himself.  So help us by Your Spirit to come to Him once more, for we pray in His strong and holy name.  Amen. Nicene Creed"
26,2022-07-17,"Gracious Father, to the end that Your Name may magnified on the earth and Your Kingdom Come here, and Your will be done here  bless Your holy, Apostolic, worldwide Church; fill Her with all truth, in all peace. Where She is corrupt, purify Her; where She is in error, correct Her; where in anything She is amiss, reform Her. Where She is right, establish Her; where She is in need, provide for Her; where She is divided, reunite Her; where She is in danger, protect and deliver Her; send down to Her Your Wisdom from above liberally and without reproach; That we, the Bride of Your Beloved Son, the one Seed of Abraham, may be faithful. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","All these things and whatever else You see that we need, grant us, O God, for the sake of Christ, who died and rose again, and now lives and reigns with You and the Holy Spirit, One God, age after age. Amen. Nicene Creed"
27,2022-07-24,"Father, we lift up to You our own nation in this generation.  Look upon us in mercy and deliver us from our own sin and rebellion.  Turn us to the fear of God and the love of His righteous law.   According to Your word, we thank You for the blessings and protections of government authority we pray for our national judges, law makers, and the executors of the laws for President Biden, his cabinet and advisors, and for the heads of our military and other institutions -   Mercifully grant them Your wisdom and counsel that as they discharge their duties to lead us as Your appointed minsters over us. In particular, bless and help our state authorities, Gov DeSantis, Surgeon General Smith, our County Cmmrs Mixon, Ketchel, Goodwin, Ponder, and Boyles and DOH Dr Chapman together w/ our City Cmmrs, Administrators, Sheriff Aden and his deputies, and our local law enforcement officers, and emergency responders. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","All these things and whatever else You see that we need, grant us, O God, for the sake of Christ, who died and rose again, and now lives and reigns with You and the Holy Spirit, One God, age after age. Amen. Christians, in Whom do you trust? Nicene Creed"
28,2022-07-31,"Father, bless also those in our congregation and community applying for exemptions to the vaccine mandate.  Provide for them in all their needs and grant them favor in the eyes of their supervisors and commanding officers. LORD, HEAR OUR PRAYERS.  For You are gracious. We lift up to You each of our schooling families in the great task of Christian education: our many Homeschooling families And for the ministry of our community's Christian schools St Mary's, St Paul's, and Rocky Bayou Christian School for each student and family each staff and faculty member along with their families remember and bless them for their labors.  Strengthen and Advance Your Kingdom by the work of Your people here and provide the rich blessings of Your Spirit to the gospel as it is planted, watered, and fortified in the hearts and souls of Your people there. OH Lord, Hear our Prayers [for You are gracious]. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Word and Table, Give us ears to hear and hearts to receive Christ and bear much fruit. For we pray in His strong and holy name.  Amen. Nicene Creed"
29,2022-08-07,"Gracious Father, we thank You for the good and beautiful order You have established in our world, and the place our lives and our congregation fit into that order.  We thank You for the orders of authority within which You have placed us and from which we receive so many often unacknowledged blessings.  Especially today, we give You thanks for our Communion of Reformed and Evangelical Churches, and for those who serve and lead us.  We pray for the Churches of our Athanasius Presbytery, those that are struggling and those that are stable, be gracious and Help each one.  Bless and empower our Presiding Ministers Brito and Thacker.  Bless all their labors in their own congregations and also for our Presbytery.  And Communion-wide; for our Presiding Ministers, Virgil Hurt, and Stuart Bryan, bless and empower them with might, wisdom, and grace of Your Spirit.  Impart to them and us -  peace and unity, the bond of Your Spirit, that we as a Communion of Reformed and Evangelical churches may please, honor and glorify You. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, As we approach Your Word and the table You have set before us, grant us grace and right hearts to love and trust in Christ Jesus, For we ask all in His strong and holy name. Amen. Nicene Creed"
30,2022-08-14,"O God, we remember Your Word which assures us of Your special care and attention to the widows and so we thank You for those widows and single mothers in our congregation and ask You to both bless, comfort, provide for the many practical daily needs and protect each one under the shield of Your care, and make us more faithful servants and protectors of them after Your own example. We especially lift up to You: Wanda Sadler, Gilda Winn, Heidi Mallory, Shirley Filar, Cori Sprenger and Hildegaard Inman Anne Redwine Lisa Simmons. We ask that You would make us faithful ministers and servants of these and more aware of the needs we might serve for where You have placed us in our neighborhoods and this community. Oh Lord, Hear our Prayers! [for You are gracious]. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Table, Give us good hearts to receive Christ by faith and bear much fruit. For we pray in His strong and holy name.  Amen. Nicene Creed"
31,2022-08-21,"Heavenly Father, We ask You to guide the nations of the world into the way of justice and truth, and establish among them peace which is the fruit of righteousness making them the kingdom of our Lord and of His Christ. We pray also for our own country. Thank You for those You've set over us in authority as government, on the federal, state and local levels and Your ministers in the world over us. We thank You for Your blessing upon our military and ask that the strength of our military would only every be used in ways that conform to Your Will and righteous standard. We entrust our servicemen to Your careful provision and protection: esp: Josh Stevenson; Caleb Akin; Trent Hamilton; Corban Pierce; Bobby Dixon; Jacoby Baker; Austin & Bekah Denigan; Kent Winn, Pablo DeJesus, Shawn Lowe, Noah Mosley, Murray Hemstreet, Matt Adelstein, Chris Stanton, Lexi Turner, Braden Fitzsimmons, and Paul Blair. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","All these things, and whatever else You see that we need, grant us, O Father, for the sake of Jesus Christ Your Son, who died and rose again and now lives and reigns with You and the Holy Spirit, one God, age after age.  Amen. Nicene Creed"
32,2022-08-28,"For You are gracious.We pray for the families of our congregation, that they may be strong and godly families and an example to the community. We pray particularly today for our singles and young adults and for our college students in various places whether here or living on their own. We ask that You would grant them the grace of Your Spirit to fight the good fight of faith and fidelity. To stand fast against temptation and pressures from without and within, not to tempt or presume upon You. To establish and maintain the testimony of Christian integrity, purity, chastity, diligence, joy, faith, hope, and charity. Grant them Your Spirit to comfort, convict, empower, and guide so that each would walk with You and so, day by day, and bear witness by their words and lives to the profound truth of the gospel of Christ Jesus their Lord. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Word and Table, Give us ears to hear Your Word and hearts to receive Christ Jesus, Who Himself delights to receive unworthy sinners such as ourselves. For we pray in His strong and holy name.  Amen Nicene Creed"
33,2022-09-04,"Gracious Father, You are the Lord of life.  You have made all of Creation and then mankind in Your holy image, to live in loving communion with You and one another, giving You glory, honor and praise, and in faithful stewardship and dominion over Creation.  But we have sinned against You and fallen short of these things.  We have turned from You and misused Your good gifts in Creation.  So we lift up to You all those in our nation and community ensnared by drunkenness and substance abuse and addiction, together with their loved ones. Grant that in their desperation, they would seek and find You, and so find light, hope, power, freedom, and life through faith in Your Son and the gift of Your Holy Spirit.  Grant wisdom, strength, and faithfulness to Your Church here as we encounter and minister to these ones and their families, empower also our community leaders, law makers and enforcers, judges, and counselors.   Bless and guide Your people that we might build and maintain a holy culture among ourselves and life together in which gluttonies, addictions, and abuses have no fit or place.  Guard and defend us from all such temptations and truly deliver us from evil. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, As we approach Your Word and the table You have set before us, grant us grace and soft hearts to love and trust in Christ Jesus, For we ask all in His strong and holy name. Amen Nicene Creed"
34,2022-09-11,"Gracious Father, You have told us in Your word that You are the defender of the innocent, and that You hate those who love violence.  So we ask You to deliver us from the scourge of terrorism; to comfort those who have lost loved ones by it; to frustrate the plans of those who would perpetrate such wickedness.  O Lord, Your Son commanded us to love our enemies: we pray that You would lead them from prejudice to truth: deliver them and us from hatred, cruelty, and revenge; and hasten the day when every tribe, tongue, people, and nation stand reconciled before you, through Jesus Christ our Lord. We lift up to You President Biden, his advisors, as well as our law makers and judges.  Give them Your wisdom, a clear sense of good and righteous judgment, and the conviction to govern rightly.  Help us to learn to honor them as the authority You have placed over us, while also fearing and obeying You as our ultimate Authority. Bless our armed forces, we pray, that they may be used only in ways that conform to Your holy will.  We entrust to Your care and protection our servicemen: Josh Stevenson; Caleb Akin; Trent Hamilton; Corban Pierce; Bobby Dixon; Jacoby Baker; Austin & Bekah Denigan; Kent Winn, Pablo DeJesus, Shawn Lowe, Noah Mosley, Murray Hemstreet, Matt Adelstein, Chris Stanton, Lexi Turner, Braden Fitzsimmons, and Paul Blair. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","Father, You are the God before whom all generations rise and pass away; You are the strength of those who labor and the repose of the blessed dead. We rejoice in the communion of the saints and rejoice to be partakers in that fellowship. Help us as we do so today and hear us in each of our petitions, for Jesus' sake.  Amen.- Nicene Creed"
35,2022-09-18,"Father, we lift up to You our own nation in this generation.  Look upon us in mercy and deliver us from our own sin and rebellion.  Turn us to the fear of God and the love of His righteous law.   According to Your word, we thank You for the blessings and protections of government authority we pray for our national judges, law makers, and the executors of the laws for President Biden, his cabinet and advisors, and for the heads of our military and other institutions -   Mercifully grant them Your wisdom and counsel that as they discharge their duties to lead us as Your appointed minsters over us. In particular, bless and help our state authorities, Gov DeSantis, Surgeon General Lapado, our County Cmmrs Mixon, Ketchel, Boyles Goodwin, and Ponder, and DOH director Dr Smith together w/ our City Cmmrs, Administrators, Sheriff Aden and his deputies, and our local law enforcement officers, and emergency responders.  Bless, uphold, and empower each in Your mercy. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Table, Straighten us and Strengthen us there. Thank you O Lord that all Your promises are  Yea and Amen in Jesus our Savior, to whom, with You and the Holy Ghost, be all honor, and glory, in all ages without end. Amen. Nicene Creed"
36,2022-09-25,"We pray earnestly that by Your mercy, you would hear our prayers and keep the United States in Your Holy protection; that You would incline the hearts of the Citizens to cultivate a spirit of good order, subordination and obedience to every authority You have placed over us particularly in our Government. Especially according to Your word, we ask the blessing of Your wisdom, justice, and power for our President Biden, His staff and advisors for each of our national Legislators and Judges- Justices Roberts, Thomas, Breyer, Alito, Sotomayor, Kagan, Gorsuch, Kavanaugh, and Barrett As well as our FL state justices Canady, Polston, Labarga, Lawson, Muniz, Couriel, and Grosshans - Bless each one with Your true wisdom and strength in all their judgments that righteousness and true justice would dwell in this land especially in all the matters before them pertaining to the protection of innocent life, whether unborn or end of life. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","Now Father, as we approach Your Table, We rejoice with thanksgiving in remembrance of all those who have loved and served You in Your Church on earth, and who now rest with You from their labors. Keep us ever in fellowship with You and all Your people, and bring us to the joy of Your everlasting kingdom. All these things, and whatever You see that we need, grant us, O Father, for the sake of Jesus Christ Your Son, Who together with You and the Holy Ghost, are one God, blessed and worshipped forever, age after age.  Amen. Nicene Creed"
37,2022-10-02,"Father, to these we add every unborn child in our land. Heavenly Father, we pray to you for them with confidence and firm trust knowing that it is your Holy Will to remove the scourge of abortion on demand from off the face of Your earth. Thank you for the many ways in which we have seen it diminished in recent years. Continue these victories by Your mercy. Change the minds and melt the hearts of all who promote this evil, or who seek abortion as a remedy for the troubles of their lives, which troubles are for many very great. Make us in our lives a testimony of sexual purity, cherishers of human life, lovers and helpers of our neighbors, guardians and adopters of the fatherless and unwanted, honorers of Your holy image wherever it is found in mankind, and willing sacrificers of ourselves, our comforts and possessions in service to Your Kingdom and Your righteousness. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, As we approach Your table Fulfill the desire of those who fear You; Hear our prayers and cries; conquer the wicked, but preserve and save those who love You. For we pray by Your Spirit and in Jesus' name.  Amen. Nicene Creed"
